General Physics I,22TT1,PH211,Vu Thi Hanh Thu,TUE,2,4,50
General Physics I,22TT2,PH211,Vu Thi Hanh Thu,TUE,3,4,50
Introduction to Law,22TT1,BAA00004,Hoang Thanh Tu,WED,3,4,50
Introduction to Law,22TT2,BAA00004,Hoang Thanh Tu,WED,4,4,50
Introduction to Computer Science II,21TT1,CS161,Dinh Ba Tien,MON,1,4,50
Introduction to Computer Science II,21TT2,CS161,Dinh Ba Tien,MON,2,4,50
General Physics II,21TT1,PH211,Vu Thi Hanh Thu,TUE,2,4,50
General Physics II,21TT2,PH211,Vu Thi Hanh Thu,TUE,3,4,50
Introduction to Computer Science III,20TT1,CS161,Dinh Ba Tien,MON,1,4,50
Introduction to Computer Science III,20TT2,CS161,Dinh Ba Tien,MON,2,4,50
Introduction to Law,20TT1,BAA00004,Hoang Thanh Tu,WED,3,4,50
Introduction to Law,20TT2,BAA00004,Hoang Thanh Tu,WED,4,4,50
